Category,Resume_Details
python_developer,giulia gonzalez python developer giuliag email com detroit linkedin github work experience python developer doordash september current detroit worked building new angular components customer facing web app improved time page average user minutes collaborated agile team helped prioritize scope feature requests ensure biggest impact features worked first built extensive test coverage new features reduced number customer complaints education acquired ingested data build maintain data pipelines led discovering opportunity new site feature boosting revenue communicated internal teams stakeholders computer science working determine solutions user experience university chicago chicago computer science university pittsburgh pittsburgh python developer intern knewton april april chicago worked alongside another developer implement restful apis django enabled internal analytics team increase reporting speed using selenium built unit testing infrastructure client web application reduced number bugs reported client month month provided project updates leadership team offered recommendations design diagnosed issues causing slow speeds applications documented process making database query system robust participated writing scalable code team interns developer applications math course skills html css sql postgresql oracle javascript angular python django rest apis graphql aws redshift git
python_developer,giulia gonzalez contact python developer work experience python developer doordash september current detroit ggonzalez email com detroit linkedin github education computer science university chicago chicago computer science university pittsburgh pittsburgh skills html css sql postgresql oracle javascript angular python django rest apis graphql aws redshift git worked building new angular components customer facing web app improved time page average user minutes collaborated agile team helped prioritize scope feature requests ensure biggest impact features worked first built extensive test coverage new features reduced number customer complaints acquired ingested data build maintain data pipelines led discovering opportunity new site feature boosting revenue communicated internal teams stakeholders working determine solutions user experience python developer intern knewton april april chicago worked alongside another developer implement restful apis django enabled internal analytics team increase reporting speed using selenium built unit testing infrastructure client web application reduced number bugs reported client month month provided project updates leadership team offered recommendations design diagnosed issues causing slow speeds applications documented process making database query system robust participated writing scalable code team interns developer applications math course projects cryptocurrency price tracker creator incorporated api calls several applications stored data efficiently postgresql backend utilized allow users dynamically visualize price movements time periods choosing
python_developer,giulia gonzalez python developer contact ggonzalez email com detroit linkedin github work experience python developer doordash september current detroit worked building new angular components customer facing web app improved time page average user minutes collaborated agile team helped prioritize scope education computer science university chicago chicago feature requests ensure biggest impact features worked first built extensive test coverage new features reduced number customer complaints acquired ingested data build maintain data pipelines led discovering opportunity new site feature boosting revenue communicated internal teams stakeholders working determine solutions user experience computer science university pittsburgh pittsburgh python developer intern knewton april april chicago worked alongside another developer implement restful apis django enabled internal analytics team increase reporting skills html css sql postgresql oracle javascript angular python django rest apis graphql aws redshift git speed using selenium built unit testing infrastructure client web application reduced number bugs reported client month month provided project updates leadership team offered recommendations design diagnosed issues causing slow speeds applications documented process making database query system robust participated writing scalable code team interns developer applications math course
python_developer,giulia gonzalez python developer giuliag email com detroit linkedin work experience doordash python developer september current detroit worked building new angular components customer facing web app improved time page average user minutes collaborated agile team helped prioritize scope feature requests ensure biggest impact features worked first built extensive test coverage new features reduced number customer complaints acquired ingested data build maintain data pipelines led discovering opportunity new site feature boosting revenue communicated internal teams stakeholders working determine solutions user experience knewton python developer intern april april chicago worked alongside another developer implement restful apis django enabled internal analytics team increase reporting speed using selenium built unit testing infrastructure client web application reduced number bugs reported client month month provided project updates leadership team offered recommendations design diagnosed issues causing slow speeds applications documented process making database query system robust participated writing scalable code team interns developer applications math course education university chicago computer science university pittsburgh computer science chicago pittsburgh skills html css sql postgresql oracle javascript angular python django rest apis graphql aws redshift git
python_developer,giulia gonzalez python developer ggonzalez email com detroit linkedin github work experience education python developer doordash computer science university chicago september current detroit worked building new angular components customer facing web app improved time chicago page average user minutes collaborated agile team helped prioritize scope feature requests ensure biggest computer science impact features worked first built extensive test coverage new features university pittsburgh reduced number customer complaints acquired ingested data build maintain data pittsburgh pipelines led discovering opportunity new site feature boosting revenue communicated internal teams stakeholders skills working determine solutions user experience python developer intern knewton html css sql postgresql oracle javascript angular april april chicago python django rest apis graphql worked alongside another developer implement restful apis django enabled internal analytics team increase reporting speed aws redshift git using selenium built unit testing infrastructure client web application reduced number bugs reported client month month provided project updates leadership team offered recommendations design diagnosed issues causing slow speeds applications documented process making database query system robust participated writing scalable code team interns developer applications math course
data_scientist,ambrose horváth associate data scientist career objective conscientious innovative data science summa cum laude graduate extensive skills outstanding aptitude learning seeking challenging career building position northrop grumman associate data scientist ambro_ email com santa barbara linkedin facebook twitter education computer science pepperdine university santa barbara work experience data scientist intern county ventura current ventura designed implemented machine learning models different programs projects verified results algorithms predict future occurrences using real world programs data precision extracted raw data twitter apis analyzed tweets generate analysis showing trends public opinion regarding policy changes developed java application performed pattern analysis criminal incidents help identify visualize hotspots vulnerable areas city gpa skills machine deep learning statistical analysis processing large data sets data visualization mathematics programming data wrangling projects image caption generator project python pepperdine senior project aug dec designed created applications analyze images convert natural language english descriptions utilized deep learning techniques implement convolutional neural network cnn recurrent neural network lstm build image caption generator certifications open certified data scientist open cds google data machine learning created application python using keras framework flickr dataset credit card fraud detection project pepperdine junior project aug jun created apps classified credit card transactions fraudulent genuine fit models plotted performance curves used algorithms decision trees logistic regression artificial neural networks gradient boosting classifier created application credit card transaction databases
data_scientist,yasmin patel data scientist intern patel email com cambridge linkedin work experience retail associate maxx current cambridge exceeded monthly sales targets contributing store recognition top performing location updated store layouts increase customer engagement featured products recognized management providing exceptional service earning average customer satisfaction rating conducted regular stock checks using inventory management systems minimized stock incidents projects library assistant harvard university objective strong academic background computer science harvard university eager kickstart career data scientist intern ibm proficient numpy scikit learn dplyr mysql sqlite keras hope learn industry experts tackle complex data challenges support ibm production cutting edge technology education bachelor science retail associatecomputer science harvard university current cambridge recommended personalized book titles library patrons led satisfaction ratings skills collaborated local nonprofits host literacy initiatives growing participation per month numpy designed captivating book displays boosted checkouts promoted genres scikit learn dplyr developed book tracking system sqlite improve cataloging accuracy reducing data entry errors mysql sqlite event staff keras harvard university decorated venues campus events earning average satisfaction rating attendees engaged event attendees actively participating crowd activities boosted guest participation scanned tickets per event maintain average wait time seconds guests entry points provided exceptional guest assistance resolving inquiries spot
data_scientist,kandace loudor data scientist contact kloudor email com mount laurel linkedin github education statistics rutgers university september april new brunswick skills python numpy pandas scikit learn keras flask sql mysql postgres git time series forecasting productionizing models recommendation engines customer segmentation aws work experience data scientist grubhub june current princeton deployed recommendation engine production conditionally recommend menu items based past order history increasing average order size implemented various time series forecasting techniques predict surge orders lowering customer wait minutes designed model pilot increase incentives drivers peak hours increasing driver availability led team data scientist model ordering process unique ways reported results made recommendations increase order output data scientist spectrix analytical services march june princeton built customer attrition random forest model improved monthly retention basis points clients likely opt providing relevant product features coordinated product marketing teams determine kind client interactions resulted maximized service opt ins increasing conversions partnered product team create production recommendation engine python improved length page users incremental annual revenue compiled analyzed data surrounding prototypes prosthesis saved creation entry level data analyst avenica april march mount laurel collaborated product managers perform cohort analysis identified opportunity reduce pricing segment users boost yearly revenue constructed operational reporting tableau improve scheduling contractors saving annual budget implemented long term pricing experiment improved customer lifetime value ran submitted reported monthly client enrollments services opted employees assigned clients
data_scientist,trish mathers entry level data scientist tmathers email com bellevue linkedin innovative scientifically rigorous graduate significant data science internship experience bring table team oriented attitude eager contribute abilities quantitative modeling experimentation enhance experience global pinterest users work experience niantic data scientist intern seattle april december skills programming sas base sas macros sql supervised learning linear logistic regressions decision trees support vector machines svm developed program sas automated refinement linear regression models specific segments customer base saved hours labor per month received cleaned prepped data client using sas sql excel help data scientists build marketing mix models resulted lift roi basis points unsupervised learning means clustering principal component analysis pca seattle university tutor center statistics mathematics tutor seattle april april data visualization excel google sheets assessed students learning determine learning weaknesses needs successfully helping students perform better algebra pre calculus calculus statistics undergraduate courses education mathematics economics seattle university september april seattle gpa relevant courses met students per week online learning platforms setting tutor center scheduled weekly appointments students set schedules student statistics math tutors communicated professors curriculum submitted reports times per week maintain date learning plans students projects fantasy football models intermediate programming probability statistics linear algebra aggregated prepped years fantasy football projection data independent sources mysql database applied econometrics game theory created random forest model sas combining disparate sources one projection outperformed mean absolute error next best projection calculus entertainment engine aggregated data imdb rotten tomatoes used nearest neighbors sas constructing enhanced entertainment selection targeted reach year olds improved methodologies save average minutes per movie selection minutes per song selection
data_scientist,tcoleman email com terrence coleman brooklyn linkedin analytically minded self starter decade experience collaborating cross functional teams ensuring accuracy integrity around data actionable insights prepared lead teams interns predictive modeling insight reporting boost hyphen business efficiency strategic goals profit work experience best buy senior data scientist october current remote led data extraction evaluation efforts save best buy course tenure partnered product team build production recommendation engine python improved average length page users resulted incremental annual revenue created customer attrition random forest model improving monthly retention basis points customers likely attrit servicing relevant product features communicated pms lead data scientists project planning development execution coached data team throughout short long term projects redefining documentation frequently data scientist april october brooklyn conducted testing solve client pain points learning platforms identified recommended solutions solve unclear platform roadmaps reduced bounce rate extracted data disparate sources increased agility accuracy centralized system constructed decisions trees optimize needed algorithms better target learning audience data analyst april april brooklyn determined using python clustering methods groups states underwriting models underperforming owned improvements increase profit identified procedural areas improvement customer data help improve profitability nationwide retention program developed owned reporting nationwide retention program using python sql excel saving average hours labor month education university pittsburgh master mathematics september april university pittsburgh bachelor mathematics economics september april pittsburgh pittsburgh skills python numpy pandas scikit learn flask sas sql redshift mysql elasticsearch recommendation engines customer segmentation retention models price optimization productionizing models
